,pmid,pubdays
471,11590215,37171.0
472,11226287,36947.0
473,8354958,34119.0
474,10956205,36746.0
475,12017543,37255.0
476,,35351.0
477,10600692,36493.0
478,12072387,37425.0
479,11773435,37259.0
480,11111083,36867.0
481,5650927,24836.0
482,9645505,35945.0
483,11387316,37104.0
484,,35580.0
485,10809780,36663.0
486,,37194.0
487,3584134,31931.0
488,1694852,33067.0
489,,34931.0
490,7547998,34973.0
491,,
492,10675617,36571.0
493,15012248,38056.0
494,8405996,34241.0
495,11090130,36851.0
496,9630215,35942.0
497,11698143,37201.0
498,8034703,34542.0
499,11967256,37367.0
500,12011452,37388.0
501,1710579,33390.0
502,10198260,36261.0
503,7515872,34364.0
504,10327284,36249.0
505,7706454,34788.0
506,1918035,33524.0
507,28327,28756.0
508,8200982,34484.0
509,11279518,36978.0
510,11001949,36873.0
511,10393204,36340.0
512,12004058,37454.0
513,9183566,35580.0
514,10825207,36673.0
515,11030331,36768.0
516,,37391.0
517,,
518,11981033,37375.0
519,2019602,33351.0
520,12062084,37406.0
521,10770938,36712.0
522,10884298,36706.0
523,,
524,11316793,36994.0
525,9915948,36159.0
526,10585416,36502.0
527,9852097,36143.0
528,12055601,37406.0
529,10479480,36402.0
530,,37279.0
531,,37255.0
532,11238557,36958.0
533,10617772,36524.0
534,1591235,33748.0
535,9144166,35561.0
536,11700068,37202.0
537,11067870,36837.0
538,11181760,36921.0
539,11579204,37163.0
540,11994399,37375.0
541,,34333.0
542,11181744,36942.0
543,8443234,34022.0
544,11063677,36829.0
545,,24471.0
546,,35094.0
547,1312497,33662.0
548,9553048,35898.0
549,11248086,36961.0
550,11602523,37194.0
551,8139576,34423.0
552,9458272,35835.0
553,10334993,36299.0
554,,35321.0
555,10377398,36331.0
556,,37405.0
557,9741696,36055.0
558,10733528,36598.0
559,8798738,35340.0
560,8663430,35270.0
561,8702847,35298.0
562,11060344,36829.0
563,10359768,36318.0
564,11030617,36782.0
565,,37255.0
566,10655068,36555.0
567,9295351,35691.0
568,9802883,36102.0
569,10051404,36220.0
570,11423554,37066.0
571,11668176,37185.0
572,10823815,36668.0
573,11075809,36843.0
574,11158324,36927.0
575,3318457,32106.0
576,12093894,37438.0
577,8878485,35360.0
578,8663429,35270.0
579,10684638,36578.0
580,10748048,36619.0
581,9013544,35466.0
582,12393855,37528.0
583,12554795,37679.0
584,9990726,36206.0
585,7916608,34195.0
586,9032275,35488.0
587,,32566.0
588,10998425,36873.0
589,9482850,35855.0
590,11248085,36961.0
591,7778789,34738.0
592,11535594,37138.0
593,11706205,37194.0
594,9380679,35707.0
595,,33190.0
596,,35733.0
597,8530364,35046.0
598,11855929,37286.0
599,10702212,36587.0
600,11323427,37006.0
601,12177004,37545.0
602,,35214.0
603,12649335,37700.0
604,10409629,36362.0
605,6937465,29684.0
606,12062085,37406.0
607,11375435,36890.0
608,11030332,36768.0
609,11090131,36843.0
610,8668203,35245.0
611,10744771,36615.0
612,11792716,37255.0
613,,33880.0
614,8943286,35410.0
615,,37118.0
616,9186922,35549.0
617,,36299.0
618,9614081,35956.0
619,11290741,37069.0
620,9931427,36194.0
621,,
622,10600524,36514.0
623,618857,28498.0
624,,36890.0
625,,36296.0
626,3198770,32476.0
627,11574686,37160.0
628,,34102.0
629,11179691,36937.0
630,11980911,37440.0
631,9660774,35991.0
632,7964183,34514.0
633,11306071,36919.0
634,8647887,35094.0
635,,35672.0
636,12512044,37623.0
637,,33006.0
638,10748062,36670.0
639,,32946.0
640,9717719,36006.0
641,12077145,37503.0
642,9559670,35879.0
643,11042130,36829.0
644,7597071,34868.0
645,10748047,36619.0
646,12089353,37436.0
647,9797378,36097.0
648,3411245,32323.0
649,2033042,33381.0
650,6423637,30680.0
651,2476440,32774.0
652,,33418.0
653,2806567,32802.0
654,,32992.0
655,2156865,32955.0
656,,33241.0
657,3456612,31470.0
658,2318307,32942.0
659,1212241,27636.0
660,2154492,32935.0
661,1708805,33206.0
662,,33633.0
663,,31046.0
664,762246,28854.0
665,2175615,33176.0
666,2037576,33392.0
667,14101187,23314.0
668,6806291,29950.0
669,1708392,33351.0
670,2777807,32784.0
671,6418842,30619.0
672,1717467,33524.0
673,6206182,30893.0
674,,
675,2246606,33115.0
676,,33480.0
677,6173037,29585.0
678,,
679,6504105,30680.0
680,,
681,1953841,33323.0
682,,
683,2079609,33145.0
684,3183523,32354.0
685,5501475,25810.0
686,,33327.0
687,,
688,,26663.0
689,,
690,6091915,30985.0
691,,33371.0
692,2261433,33111.0
693,2993784,31046.0
694,3303348,31896.0
695,2837761,32293.0
696,2433077,31759.0
697,2318830,32966.0
698,6338006,30315.0
699,2394709,33119.0
700,,
701,,29219.0
702,2106520,32945.0
703,2753900,32723.0
704,,
705,3182806,32460.0
706,1693613,33037.0
707,2394714,33119.0
708,4035280,31046.0
709,,33676.0
710,3746130,31562.0
711,,31866.0
712,2391071,33084.0
713,,33371.0
714,1979336,33206.0
715,4825231,27148.0
716,,32662.0
717,,28124.0
718,2882519,31866.0
719,2007596,33331.0
720,1714456,33463.0
721,1995604,33292.0
722,,32719.0
723,1911867,33510.0
